変更後パス名,変更前パス名,モジュール名,種類,新規ステップ数,修正元ステップ数,修正ステップ数,流用ステップ数,削除ステップ数
"..\\workspace\dcpsh7780\kernelver.c","..\\workspace\dcpsh7780\kernelver.c","モジュール外",c,0,0,0,2,0
"..\\workspace\dcpsh7780\kernelver.c","..\\workspace\dcpsh7780\kernelver.c","void KernelVer",c,0,0,0,5,0
"..\\workspace\dcpsh7780\linkSyms.c","..\\workspace\dcpsh7780\linkSyms.c","モジュール外",c,0,0,0,335,0
"..\\workspace\dcpsh7780\prjComps.h","..\\workspace\dcpsh7780\prjComps.h","モジュール外",h,0,0,0,401,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","モジュール外",c,0,0,0,317,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrInit",c,0,0,0,15,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetAppInit",c,0,0,0,19,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetDevStart",c,0,0,0,8,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetHostInit",c,0,0,0,7,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetMib2Init",c,0,0,0,5,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetProtoInit",c,0,0,0,11,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetRemoteInit",c,0,0,0,6,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetSocketInit",c,0,0,0,5,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetUtilsInit",c,0,0,0,22,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetworkAddrInit",c,0,0,0,4,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetworkAddrCheck",c,0,0,0,6,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrNetworkInit",c,0,0,0,30,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrWindviewInit",c,0,0,0,5,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrShowInit",c,0,0,0,21,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrLoaderInit",c,0,0,0,7,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrSymTblInit",c,0,0,0,6,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrShellCmdInit",c,0,0,0,13,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrShellInit",c,0,0,0,11,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrToolsInit",c,0,0,0,14,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrKernelCoreInit",c,0,0,0,16,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrKernelExtraInit",c,0,0,0,17,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrIosCoreInit",c,0,0,0,9,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrIosExtraInit",c,0,0,0,28,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrScInit",c,0,0,0,10,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrRoot",c,0,0,0,39,0
"..\\workspace\dcpsh7780\prjConfig.c","..\\workspace\dcpsh7780\prjConfig.c","void usrWdbInit",c,0,0,0,30,0
"..\\workspace\dcpsh7780\prjParams.h","..\\workspace\dcpsh7780\prjParams.h","モジュール外",h,0,0,0,1654,0
"..\\workspace\dcpsh7780\usrAppInit.c","..\\workspace\dcpsh7780\usrAppInit.c","モジュール外",c,0,0,0,2,0
"..\\workspace\dcpsh7780\usrAppInit.c","..\\workspace\dcpsh7780\usrAppInit.c","void usrAppInit",c,0,0,0,3,0
"..\\workspace\dcpsh7780\usrRtpAppInit.c","..\\workspace\dcpsh7780\usrRtpAppInit.c","モジュール外",c,0,0,0,0,0
"..\\workspace\dcpsh7780\usrRtpAppInit.c","..\\workspace\dcpsh7780\usrRtpAppInit.c","void usrRtpAppInit",c,0,0,0,3,0
"..\\workspace\dcpsh7780\default\ctdt.c","..\\workspace\dcpsh7780\default\ctdt.c","モジュール外",c,0,0,0,12,0
"..\\workspace\dcpsh7780\default\symTbl.c","..\\workspace\dcpsh7780\default\symTbl.c","モジュール外",c,0,0,0,14144,0
"..\\workspace\DEBUG\alarm_debug.c","..\\workspace\DEBUG\alarm_debug.c","モジュール外",c,0,0,0,143,0
