File, Line, Severity, Id, Summary
..\workspace\DRIVER\SRC\pci_c3135.c,1941,style,redundantAssignment,Variable 'pMemBlock0->interTimerReg' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_c3135.c,1935,style,redundantAssignment,Variable 'pMemBlock0->timerReg.count0' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_c3135.c,1949,style,redundantAssignment,Variable 'pMemBlock0->timerReg.count1' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_c3135.c,1673,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,1728,style,variableScope,The scope of the variable 'i' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,1729,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,1730,style,variableScope,The scope of the variable 'arg1' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,1731,style,variableScope,The scope of the variable 'arg2' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,289,style,unreadVariable,Variable 'intrEvent' is assigned a value that is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1048,style,unreadVariable,Variable 'ret' is assigned a value that is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,308,style,unusedFunction,The function 'C3135Close' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,914,style,unusedFunction,The function 'C3135GetAdcCtrlReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1400,style,unusedFunction,The function 'C3135GetAdcSelReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1131,style,unusedFunction,The function 'C3135GetInputRangeChSelReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1063,style,unusedFunction,The function 'C3135GetInputRangeSetReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1197,style,unusedFunction,The function 'C3135GetPolarDitgReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,984,style,unusedFunction,The function 'C3135GetSDSetReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1264,style,unusedFunction,The function 'C3135GetSynchNumSetReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1333,style,unusedFunction,The function 'C3135GetSynchSetReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,718,style,unusedFunction,The function 'C3135PrintAd' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,360,style,unusedFunction,The function 'C3135SetIrqConfig' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1670,style,unusedFunction,The function 'pci_c3135TimerIntr' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,1489,warning,invalidPrintfArgType_uint,%x in format string (no. 2) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1690,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1691,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1692,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1693,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1714,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1715,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1716,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1469,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_ilc.c,1521,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_ilc.c,1745,style,variableScope,The scope of the variable 'i' can be reduced.
..\workspace\DRIVER\SRC\pci_ilc.c,1746,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_ilc.c,1747,style,variableScope,The scope of the variable 'arg1' can be reduced.
..\workspace\DRIVER\SRC\pci_ilc.c,1748,style,variableScope,The scope of the variable 'arg2' can be reduced.
..\workspace\DRIVER\SRC\pci_ilc.c,2200,style,unusedFunction,The function 'FilcClose' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2421,style,unusedFunction,The function 'FilcDispIn' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2427,style,unusedFunction,The function 'FilcDispOut' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2280,style,unusedFunction,The function 'FilcGetInputData' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2397,style,unusedFunction,The function 'FilcGetInputLogic' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2403,style,unusedFunction,The function 'FilcGetInputTest' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2409,style,unusedFunction,The function 'FilcGetOutputLogic' is never used.
