frame.number,time_delta,偏差,偏差二乗,正規化,偏差値
2,0.000135,-0.002707333518005534,7.3296547777162215e-06,-0.10247696994482199,48.97523030055178
3,7.5e-05,-0.002767333518005534,7.658134799876887e-06,-0.10474806737548467,48.95251932624515
4,3.5e-05,-0.0028073335180055343,7.88112148131733e-06,-0.1062621323292598,48.937378676707404
5,4.9e-05,-0.002793333518005534,7.802712142813174e-06,-0.1057322095954385,48.94267790404562
6,3.9e-05,-0.002803333518005534,7.858678813173284e-06,-0.10611072583388229,48.93889274166118
7,6.6e-05,-0.002776333518005534,7.708027803200985e-06,-0.10508873199008407,48.94911268009916
8,4.2e-05,-0.002800333518005534,7.841867812065252e-06,-0.10599717096234915,48.94002829037651
9,4.9e-05,-0.002793333518005534,7.802712142813174e-06,-0.1057322095954385,48.94267790404562
10,3.3e-05,-0.002809333518005534,7.89235481538935e-06,-0.10633783557694855,48.93662164423051
11,4.5e-05,-0.0027973335180055342,7.825074810957219e-06,-0.10588361609081602,48.94116383909184
12,3.2e-05,-0.0028103335180055342,7.897974482425362e-06,-0.10637568720079293,48.93624312799207
13,6.9e-05,-0.002773333518005534,7.691378802092952e-06,-0.10497517711855094,48.95024822881449
14,5.4e-05,-0.0027883335180055343,7.77480380763312e-06,-0.10554295147621662,48.94457048523783
15,5.3e-05,-0.002789333518005534,7.78038147466913e-06,-0.10558080310006099,48.94419196899939
16,9.4e-05,-0.0027483335180055342,7.553337126192676e-06,-0.1040288865224415,48.95971113477559
17,9e-06,-0.0028333335180055342,8.027778824253617e-06,-0.10724627454921362,48.92753725450786
18,8.4e-05,-0.0027583335180055343,7.608403796552787e-06,-0.10440740276088527,48.95592597239115
19,4.6e-05,-0.002796333518005534,7.819481143921206e-06,-0.10584576446697164,48.941542355330284
20,4.4e-05,-0.002798333518005534,7.830670477993227e-06,-0.10592146771466038,48.940785322853394
21,2.9e-05,-0.002813333518005534,7.914845483533395e-06,-0.10648924207232606,48.93510757927674
22,2e-05,-0.002822333518005534,7.965566486857495e-06,-0.10682990668692546,48.93170093313074
23,1.9e-05,-0.0028233335180055342,7.971212153893507e-06,-0.10686775831076985,48.9313224168923
24,0.00075,-0.0020923335180055343,4.377859550569415e-06,-0.07919822128052954,49.208017787194706
25,4e-05,-0.002802333518005534,7.853073146137274e-06,-0.1060728742100379,48.93927125789962
26,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
27,3e-05,-0.002812333518005534,7.909219816497383e-06,-0.10645139044848168,48.93548609551518
28,3.9e-05,-0.002803333518005534,7.858678813173284e-06,-0.10611072583388229,48.93889274166118
29,4.7e-05,-0.002795333518005534,7.813889476885195e-06,-0.10580791284312725,48.941920871568726
30,5.7e-05,-0.002785333518005534,7.758082806525084e-06,-0.10542939660468346,48.945706033953165
31,4.1e-05,-0.0028013335180055343,7.847469479101263e-06,-0.10603502258619353,48.93964977413806
32,5.8e-05,-0.0027843335180055342,7.752513139489075e-06,-0.10539154498083911,48.94608455019161
33,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
34,5.6e-05,-0.002786333518005534,7.763654473561095e-06,-0.10546724822852785,48.94532751771472
35,4.5e-05,-0.0027973335180055342,7.825074810957219e-06,-0.10588361609081602,48.94116383909184
36,5.5e-05,-0.002787333518005534,7.769228140597108e-06,-0.10550509985237223,48.944949001476274
37,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
38,5.9e-05,-0.002783333518005534,7.746945472453064e-06,-0.10535369335699472,48.946463066430056
39,4e-05,-0.002802333518005534,7.853073146137274e-06,-0.1060728742100379,48.93927125789962
40,5.7e-05,-0.002785333518005534,7.758082806525084e-06,-0.10542939660468346,48.945706033953165
41,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
42,5.5e-05,-0.002787333518005534,7.769228140597108e-06,-0.10550509985237223,48.944949001476274
43,5.2e-05,-0.002790333518005534,7.78596114170514e-06,-0.10561865472390537,48.94381345276095
44,5.5e-05,-0.002787333518005534,7.769228140597108e-06,-0.10550509985237223,48.944949001476274
45,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
46,5.8e-05,-0.0027843335180055342,7.752513139489075e-06,-0.10539154498083911,48.94608455019161
47,3.9e-05,-0.002803333518005534,7.858678813173284e-06,-0.10611072583388229,48.93889274166118
48,5.9e-05,-0.002783333518005534,7.746945472453064e-06,-0.10535369335699472,48.946463066430056
49,4.2e-05,-0.002800333518005534,7.841867812065252e-06,-0.10599717096234915,48.94002829037651
50,5.6e-05,-0.002786333518005534,7.763654473561095e-06,-0.10546724822852785,48.94532751771472
51,4.4e-05,-0.002798333518005534,7.830670477993227e-06,-0.10592146771466038,48.940785322853394
52,5.4e-05,-0.0027883335180055343,7.77480380763312e-06,-0.10554295147621662,48.94457048523783
53,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
54,5.6e-05,-0.002786333518005534,7.763654473561095e-06,-0.10546724822852785,48.94532751771472
55,4e-05,-0.002802333518005534,7.853073146137274e-06,-0.1060728742100379,48.93927125789962
56,5.7e-05,-0.002785333518005534,7.758082806525084e-06,-0.10542939660468346,48.945706033953165
57,4.2e-05,-0.002800333518005534,7.841867812065252e-06,-0.10599717096234915,48.94002829037651
58,5.9e-05,-0.002783333518005534,7.746945472453064e-06,-0.10535369335699472,48.946463066430056
59,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
60,5.8e-05,-0.0027843335180055342,7.752513139489075e-06,-0.10539154498083911,48.94608455019161
61,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
62,5.6e-05,-0.002786333518005534,7.763654473561095e-06,-0.10546724822852785,48.94532751771472
63,5.1e-05,-0.0027913335180055343,7.791542808741152e-06,-0.10565650634774974,48.9434349365225
64,5.6e-05,-0.002786333518005534,7.763654473561095e-06,-0.10546724822852785,48.94532751771472
65,4.4e-05,-0.002798333518005534,7.830670477993227e-06,-0.10592146771466038,48.940785322853394
66,5.9e-05,-0.002783333518005534,7.746945472453064e-06,-0.10535369335699472,48.946463066430056
67,4.1e-05,-0.0028013335180055343,7.847469479101263e-06,-0.10603502258619353,48.93964977413806
68,6e-05,-0.002782333518005534,7.74137980541705e-06,-0.10531584173315034,48.9468415826685
69,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
70,5.9e-05,-0.002783333518005534,7.746945472453064e-06,-0.10535369335699472,48.946463066430056
71,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
72,6.1e-05,-0.0027813335180055343,7.735816138381042e-06,-0.10527799010930597,48.94722009890694
73,4.3e-05,-0.002799333518005534,7.83626814502924e-06,-0.10595931933850476,48.94040680661495
74,0.000575,-0.002267333518005534,5.140801281871352e-06,-0.08582225545329568,49.14177744546704
75,4.4e-05,-0.002798333518005534,7.830670477993227e-06,-0.10592146771466038,48.940785322853394
76,4.5e-05,-0.0027973335180055342,7.825074810957219e-06,-0.10588361609081602,48.94116383909184
77,3.1e-05,-0.002811333518005534,7.903596149461372e-06,-0.10641353882463729,48.93586461175363
78,4.1e-05,-0.0028013335180055343,7.847469479101263e-06,-0.10603502258619353,48.93964977413806
79,3.1e-05,-0.002811333518005534,7.903596149461372e-06,-0.10641353882463729,48.93586461175363
