frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.Protocol,data.len,data.data,_ws.col.Info
1,0.000000000,0.000000000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
2,1.044339000,1.044339000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
3,2.020293000,0.975954000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
4,3.029652000,1.009359000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
5,4.046334000,1.016682000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
6,5.050608000,1.004274000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
7,6.056397000,1.005789000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
8,7.059081000,1.002684000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
9,8.067595000,1.008514000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
10,9.082829000,1.015234000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
11,10.084541000,1.001712000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
12,11.097218000,1.012677000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
13,12.100532000,1.003314000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
14,13.104328000,1.003796000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
15,14.112084000,1.007756000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
16,15.114407000,1.002323000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
17,16.116871000,1.002464000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
18,17.120700000,1.003829000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
19,18.136881000,1.016181000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
20,19.146155000,1.009274000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
21,20.156596000,1.010441000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
22,21.167324000,1.010728000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
23,22.176050000,1.008726000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
24,23.189797000,1.013747000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
25,24.202834000,1.013037000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
26,25.215283000,1.012449000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
27,26.216694000,1.001411000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
28,27.230304000,1.013610000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
29,28.231436000,1.001132000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
30,29.243571000,1.012135000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
31,30.258170000,1.014599000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
32,31.267939000,1.009769000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
33,32.269313000,1.001374000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
34,33.277749000,1.008436000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
35,34.292200000,1.014451000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
36,35.303167000,1.010967000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
37,36.316375000,1.013208000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
38,37.325756000,1.009381000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
39,38.332458000,1.006702000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
40,39.347870000,1.015412000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
41,40.357232000,1.009362000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
42,41.360463000,1.003231000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
43,42.374598000,1.014135000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
44,43.387626000,1.013028000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
45,44.392415000,1.004789000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
46,45.406096000,1.013681000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
47,46.420197000,1.014101000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
48,47.433889000,1.013692000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
49,48.437152000,1.003263000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
50,49.436527000,0.999375000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
51,50.442013000,1.005486000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
52,51.456845000,1.014832000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
53,52.458512000,1.001667000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
54,53.459876000,1.001364000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
55,54.467166000,1.007290000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
56,55.470452000,1.003286000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
57,56.472030000,1.001578000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
58,57.475916000,1.003886000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
59,58.487223000,1.011307000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
60,59.499475000,1.012252000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
61,60.514408000,1.014933000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
62,61.529476000,1.015068000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
63,62.544696000,1.015220000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
64,63.554132000,1.009436000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
65,64.564090000,1.009958000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
66,65.575934000,1.011844000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
67,66.579731000,1.003797000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
68,67.594071000,1.014340000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
69,68.609152000,1.015081000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
