frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.Protocol,data.len,data.data,_ws.col.Info
1,0.000000000,0.000000000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
2,1.035218000,1.035218000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
3,2.024217000,0.988999000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
4,3.026688000,1.002471000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
5,4.032122000,1.005434000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
6,5.038124000,1.006002000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
7,6.038033000,0.999909000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
8,7.051421000,1.013388000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
9,8.058887000,1.007466000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
10,9.071254000,1.012367000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
11,10.083900000,1.012646000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
12,11.095810000,1.011910000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
13,12.110451000,1.014641000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
14,13.111874000,1.001423000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
15,14.126920000,1.015046000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
16,15.132680000,1.005760000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
17,16.136685000,1.004005000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
18,17.152092000,1.015407000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
19,18.160794000,1.008702000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
20,19.170924000,1.010130000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
21,20.172214000,1.001290000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
22,21.181613000,1.009399000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
23,22.181697000,1.000084000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
24,23.193477000,1.011780000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
25,24.206371000,1.012894000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
26,25.207062000,1.000691000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
27,26.213416000,1.006354000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
28,27.219979000,1.006563000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
29,28.234070000,1.014091000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
30,29.250372000,1.016302000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
31,30.257205000,1.006833000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
32,31.271845000,1.014640000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
33,32.291167000,1.019322000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
34,33.295843000,1.004676000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
35,34.311254000,1.015411000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
