frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.Protocol,data.len,data.data,_ws.col.Info
1,0.000000000,0.000000000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
2,1.038104000,1.038104000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
3,2.021909000,0.983805000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
4,3.021019000,0.999110000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
5,4.026835000,1.005816000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
6,5.041375000,1.014540000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
7,6.061519000,1.020144000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
8,7.064313000,1.002794000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
9,8.073561000,1.009248000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
10,9.082658000,1.009097000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
11,10.101118000,1.018460000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
12,11.099735000,0.998617000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
13,12.102321000,1.002586000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
14,13.111177000,1.008856000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
15,14.120295000,1.009118000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
16,15.121423000,1.001128000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
17,16.127163000,1.005740000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
18,17.137092000,1.009929000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
19,18.150613000,1.013521000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
20,19.148855000,0.998242000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
21,20.165539000,1.016684000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
22,21.174817000,1.009278000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
23,22.179214000,1.004397000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
24,23.187382000,1.008168000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
25,24.199865000,1.012483000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
26,25.206964000,1.007099000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
27,26.212054000,1.005090000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
28,27.230016000,1.017962000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
29,28.237816000,1.007800000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
30,29.237988000,1.000172000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
31,30.245126000,1.007138000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
32,31.258955000,1.013829000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
33,32.272209000,1.013254000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
34,33.278146000,1.005937000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
35,34.290180000,1.012034000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
36,35.302774000,1.012594000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
37,36.317417000,1.014643000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
38,37.329833000,1.012416000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
39,38.339293000,1.009460000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
40,39.349341000,1.010048000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
41,40.362890000,1.013549000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
